pinalpha_company_name,pinalpha_company_code
Ascendas,A17U
ABB LTD,ABBN
ADECCO,ADEN
Julius BÃ¤r,BAER
Julius Baer,BAER
Keppel Corp,BN4
Yangzijiang Shipbuilding,BS6
Jardine C&C,C07
City Development Ltd,C09
CapitaLand,C31
CapitaMall Trust,C38U
ComfortDelGro,C52
Singapore International Airline,C6L
SingaporeAir,C6L
RICHEMONT,CFR
Credit Suisse,CSGN
DairyFarm,D01
DBS,D05
Development Bank Singapore,D05
Golden Agri,E5H
Wilmar International,F34
Genting Singapore,G13
GEBERIT,GEBN
GIVAUDAN,GIVN
LAFARGEHOLCIM,LHN
LONZA,LONN
NESTLE,NESN
NOVARTIS,NOVN
Oversea-Chinese Banking ,O39
OCBC,O39
ROCHE,ROG
SATS,S58
ST Engineering,S63
SGX,S68
Singapore Exchange,S68
SWISSCOM,SCMN
SWISS LIFE HOLDING,SLHN
SWISS RE,SREN
Singapore Press Holding,T39
United Overseas Bank,U11
UOB,U11
UOL,U14
Sembcorp,U96
UBS Group,UBSG
UBS,UBSG
SWATCH,UHR
ThaiBev,Y92
Singapore Telecommunications ,Z74
SingTel,Z74
ZURICH INSURANCE,ZURN
